"Benchmark","Routing","Selection","Data Packet Injection Rate","ACO Selection Alpha","Reinforcement Factor","Algorithm","Max Cycles","Simulation Time (Seconds)","Throughput","Average Packet Delay","Payload Throughput","Average Payload Packet Delay"
"fluidanimate","OddEven","ACO","0.15","0.4","0.032","OddEven+ACO(0.4, 0.032)","1000","0.063768527","0.002984375","50.3717277486911","0.002484375","53.82389937106918"
"fluidanimate","OddEven","ACO","0.15","0.5","0.0005","OddEven+ACO(0.5, 0.0005)","1000","0.070328823","0.002984375","50.3717277486911","0.002484375","53.82389937106918"
"fluidanimate","OddEven","ACO","0.15","0.5","0.002","OddEven+ACO(0.5, 0.002)","1000","0.100126802","0.002984375","50.3717277486911","0.002484375","53.82389937106918"
"fluidanimate","OddEven","ACO","0.15","0.5","0.008","OddEven+ACO(0.5, 0.008)","1000","0.077926249","0.002984375","50.3717277486911","0.002484375","53.82389937106918"
"fluidanimate","OddEven","ACO","0.15","0.5","0.032","OddEven+ACO(0.5, 0.032)","1000","0.136521715","0.002984375","50.3717277486911","0.002484375","53.82389937106918"
"fluidanimate","OddEven","ACO","0.15","0.6","0.0005","OddEven+ACO(0.6, 0.0005)","1000","0.083501329","0.002984375","50.3717277486911","0.002484375","53.82389937106918"
"fluidanimate","OddEven","ACO","0.15","0.6","0.002","OddEven+ACO(0.6, 0.002)","1000","0.073184769","0.002984375","50.3717277486911","0.002484375","53.82389937106918"
"fluidanimate","OddEven","ACO","0.15","0.6","0.008","OddEven+ACO(0.6, 0.008)","1000","0.08148899","0.002984375","50.3717277486911","0.002484375","53.82389937106918"
"fluidanimate","OddEven","ACO","0.15","0.6","0.032","OddEven+ACO(0.6, 0.032)","1000","0.08525738","0.002984375","50.3717277486911","0.002484375","53.82389937106918"
"fluidanimate","OddEven","ACO","0.15","0.7","0.0005","OddEven+ACO(0.7, 0.0005)","1000","0.141767254","0.002984375","50.3717277486911","0.002484375","53.82389937106918"
"fluidanimate","OddEven","ACO","0.15","0.7","0.002","OddEven+ACO(0.7, 0.002)","1000","0.076053354","0.002984375","50.3717277486911","0.002484375","53.82389937106918"
